,index,Scotland,East Anglian Region,London Region,South Region,North Western Region,West Midlands Region,South West Region,East Midlands Region,South East Region,Wales,Yorkshire Region,North Region,Ireland,id_student,code_module,module_domain,module_presentation_length,term,year,num_of_prev_attempts,final_result,date_registration,disability,gender,age_band,highest_education,imd_band,studied_credits,b4_sum_clicks,half_sum_clicks,std_half_score
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3733,3,1,261,0,0,0,0,-68.0,0,0,2,3,9.0,60,0.0,0.0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6516,0,0,269,0,1,0,1,-52.0,0,0,2,3,8.0,60,256.0,1347.0,56.4
2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8462,3,1,261,0,0,0,0,-137.0,0,0,2,3,3.0,90,81.0,565.0,58.1666666666667
3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8462,3,1,262,0,1,1,0,-38.0,0,0,2,3,3.0,60,0.0,0.0,0.0
4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,11391,0,0,268,0,0,0,1,-159.0,0,0,2,3,9.0,240,98.0,612.0,81.6
5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,23629,1,0,240,1,0,2,0,-47.0,0,1,0,1,2.0,60,14.0,147.0,38.8139534883721
6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,23632,1,0,268,0,0,0,0,-194.0,0,1,0,2,4.0,60,0.0,0.0,0.0
7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,23698,2,1,269,0,1,0,1,-110.0,0,1,0,2,5.0,120,181.0,475.0,74.325
8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,23798,1,0,268,0,0,0,1,-27.0,0,0,0,2,5.0,60,6.0,365.0,89.6129032258064
9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,24213,3,1,240,1,0,0,0,-128.0,0,1,0,2,4.0,90,0.0,0.0,0.0
10,11,0,1,0,0,0,0,0,0,0,0,0,0,0,24213,3,1,241,1,1,1,1,-54.0,0,1,0,2,4.0,60,3.0,1069.0,57.3333333333333
11,13,0,0,0,1,0,0,0,0,0,0,0,0,0,24734,0,0,269,0,1,0,1,-18.0,0,1,0,1,6.0,60,30.0,217.0,44.2
12,14,0,1,0,0,0,0,0,0,0,0,0,0,0,25107,1,0,240,1,0,0,1,-73.0,0,1,0,1,2.0,120,5.0,1465.0,63.0
13,15,0,0,0,0,1,0,0,0,0,0,0,0,0,25150,4,1,241,1,1,0,1,-47.0,0,0,0,3,9.0,60,51.0,757.0,84.5555555555556
14,16,1,0,0,0,0,0,0,0,0,0,0,0,0,25261,2,1,269,0,1,0,0,-114.0,0,1,0,3,4.0,60,201.0,796.0,3.9
15,17,0,0,1,0,0,0,0,0,0,0,0,0,0,25572,3,1,262,0,1,2,0,-68.0,0,1,0,3,1.0,150,8.0,105.0,14.0
16,18,1,0,0,0,0,0,0,0,0,0,0,0,0,25629,1,0,268,0,0,0,0,-31.0,0,1,0,1,2.0,120,0.0,0.0,0.0
17,19,1,0,0,0,0,0,0,0,0,0,0,0,0,25629,1,0,234,1,1,1,0,-156.0,0,1,0,1,2.0,120,0.0,0.0,0.0
18,20,0,0,1,0,0,0,0,0,0,0,0,0,0,25997,1,0,234,1,1,2,0,-139.0,0,1,0,2,2.0,60,0.0,13.0,32.8837209302326
19,22,0,1,0,0,0,0,0,0,0,0,0,0,0,26192,0,0,269,0,1,0,1,-38.0,0,1,1,2,6.0,60,241.0,1408.0,84.6
20,23,0,0,1,0,0,0,0,0,0,0,0,0,0,26211,5,1,241,1,1,0,1,-25.0,0,1,1,3,2.0,90,308.0,8316.0,81.0
